,exp_Gene
402,Nqo2
403,Dsp
404,Gcnt2
405,Nol8
406,Cks2
407,Fgfr4
408,Irx2
409,Ell2
410,Mblac2
411,Tmem167
412,Dhfr
413,Serinc5
414,Homer1
415,Arsb
416,Cenpk
417,Srek1ip1
418,Plk2
419,Plpp1
420,Paip1
421,Hmgcs1
422,Dnajc9
423,Anxa7
424,Gnl3
425,Tspan14
426,1700011H14Rik
427,Supt16
428,Haus4
429,Slc7a8
430,Zfhx2
431,Cryl1
432,Ska3
433,Scara3
434,Gulo
435,Cdca2
436,Diaph3
437,Pcdh9
438,Tmtc4
439,Synpr
440,Slc4a7
441,Nkiras1
442,Adk
443,Arhgef3
444,Tmem110
445,Sema3g
446,Glud1
447,Wapl
448,Gm8113
449,Cdkn3
450,Samd4
451,Parp2
452,Slc39a2
453,Rpgrip1
454,Mmp14
455,Lrrc16b
456,Pck2
457,Rec8
458,Spata13
459,Zfp395
460,Pbk
461,Trim35
462,Lgi3
463,Epsti1
464,Bora
465,Klf5
466,Gpc6
467,Cldn10
468,Dnajc3
469,Ipo5
470,Skp2
471,Basp1
472,Ncald
473,Ext1
474,Enpp2
475,Atad2
476,Fbxo32
477,Tmem65
478,Mtss1
479,Ndrg1
480,Zfat
481,Mfng
482,Chadl
483,Naga
484,Tcf20
485,Arfgap3
486,Pacsin2
487,Scube1
488,1810041L15Rik
489,Wnt7b
490,Kif21a
491,Slc38a2
492,Slc38a4
493,Vdr
494,Senp1
495,Racgap1
496,Cbx5
497,Oxct1
498,Plcxd3
499,Lifr
500,Gdnf
501,Mtmr12
502,Fam134b
503,Ank
504,Laptm4b
505,Matn2
506,Erich5
507,Grhl2
508,Slc30a8
509,Mal2
510,Mtbp
511,Khdrbs3
512,Mapk15
513,Adck5
514,Cdc42ep1
515,Syngr1
516,Prr5
517,Ncaph2
518,Mapk8ip2
519,Cntn1
520,Gm26760
521,Pdzrn4
522,Ano6
523,Tuba1c
524,Troap
525,Spats2
526,Grasp
527,Nr4a1
528,Srl
529,Nmral1
530,Emp2
531,Litaf
532,Gspt1
533,Marf1
534,Mcm4
535,Spidr
536,2610318N02Rik
537,Cdc45
538,Etv5
539,Rfc4
540,Sst
541,Fgf12
542,Pdia5
543,Stxbp5l
544,Cd200
545,Gm609
546,Alcam
547,Nfkbiz
548,Nit2
549,St3gal6
550,Adamts1
551,Gart
552,Rcan1
553,Zfp174
554,Abat
555,Nubp1
556,Mkl2
557,Nde1
558,Klhl24
559,Vwa5b2
560,Vps8
561,Lpp
562,Hes1
563,Rnf168
564,Tfrc
565,Muc4
566,Heg1
567,Fstl1
568,Igsf11
569,Naa50
570,C330027C09Rik
571,Filip1l
572,Cxadr
573,Ifngr2
574,Clic6
575,Chaf1b
576,Ripply3
577,Bace2
578,Ezr
579,Qk
580,Acat2
581,Wtap
582,Dll1
583,Ccnf
584,Hn1l
585,Baiap3
586,Nme4
587,Tcp11
588,Fkbp5
589,Trp53cor1
590,Cbs
591,Akap8l
592,Kifc1
593,Gm19412
594,Cenpq
595,Cd2ap
596,Slc29a1
597,Mdfi
598,Satb1
599,Sgol1
600,Nrtn
601,Tubb4a
602,Smchd1
603,Ndc80
604,Cdc42ep3
605,Map4k3
606,Lrpprc
607,Nrxn1
608,Mpc1
609,Pde10a
610,Ccdc64b
611,Ergic1
612,Kifc5b
613,Pacsin1
614,Mapk13
615,Cdkn1a
616,Abcg1
617,Rrp1b
618,Vars
619,Ddah2
620,Mdc1
621,Tnfrsf21
622,Adgrf5
623,Cyp39a1
624,Rcan2
625,Ccnd3
626,Kcnh8
627,Chaf1a
628,Tnfaip8l1
629,Uhrf1
630,Crb3
631,Lama1
632,Rasgrp3
633,Galm
634,Tmem178
635,Pkdcc
636,Eml4
637,Plekhh2
638,Ttc7
639,Crem
640,Cdh2
641,Celf4
642,Stard4
643,Epb41l4a
644,Cdc25c
645,Spata24
646,Dpysl3
647,Cdo1
648,Aldh7a1
649,Tcof1
650,Atp8b1
651,Rab27b
652,Me2
653,Ska1
654,Haus1
655,Setbp1
656,Galr1
657,Tshz1
658,Svil
659,Zeb1
660,Gata6
661,Rbbp8
662,Dsg2
663,Kif20a
664,Tcerg1
665,Stk32a
666,Dcp2
667,Lmnb1
668,Impa2
669,Seh1l
670,Acaa2
671,Zbtb7c
672,Smad2
673,Zfp516
674,Rhod
675,Pola2
676,Gm14964
677,Vegfb
678,Flrt1
679,Incenp
680,Fen1
681,Psat1
682,Tjp2
683,Slc16a12
684,Pank1
685,Ide
686,Myof
687,Fra10ac1
688,Pdlim1
689,Blnk
690,Slit1
691,Cpn1
692,Sorcs1
693,Ablim1
694,Gfra1
695,Shtn1
696,Pcx
697,Efemp2
698,Rela
699,Rcor2
700,Syt7
701,Prune2
702,Smarca2
703,Rcl1
704,A1cf
705,Papss2
706,Kif20b
707,Kif11
708,Hhex
709,Plce1
710,Hells
711,Nolc1
712,Sfxn2
713,Gsto1
714,Ins1
715,Add3
716,Dusp5
717,Acsl5
718,Tcf7l2
719,Habp2
720,Casp7
721,Hspa14
722,Proser2
723,Celf2
724,Hacd1
725,Arrdc1
726,Nacc2
727,Notch1
728,Gm13373
729,1700026L06Rik
730,Cfap77
731,Stxbp1
732,Rnd3
733,Nr4a2
734,Cytip
735,Acvr1c
736,Rbms1
737,Dpp4
738,Gcg
739,Kcnh7
740,Fign
741,Scn3a
742,Scn9a
743,Stk39
744,Spc25
745,Sestd1
746,Cerkl
747,Neurod1
748,Pde1a
749,Frzb
750,Ctnnd1
751,2700094K13Rik
752,Serping1
753,Mdk
754,Creb3l1
755,Cd82
756,Hsd17b12
757,Ehf
758,Cat
759,Pax6os1
760,Elp4
761,Ehd4
762,Epb42
763,Shf
764,Hdc
765,Ncaph
766,Kcnip3
767,Bub1
768,Ckap2l
769,Pcna
770,Trmt6
771,Fermt1
772,Esf1
773,Pcsk2os1
774,Ovol2
775,Cdk5rap1
776,E2f1
777,Tgm2
778,Ptprt
779,Wfdc15b
780,Sulf2
781,Aurka
782,Bmp7
783,Pmepa1
784,Lama5
785,Stmn3
786,Nmt2
787,Fam107b
788,Frmd4a
789,Bend7
790,Vim
791,Msrb2
792,Etl4
793,Gpsm1
794,Olfm1
795,Ak8
796,Ncs1
797,Ass1
798,Aif1l
799,Sh2d3c
800,Cntrl
801,Nek6
802,Kynu
803,Kif5c
804,Gpd2
805,Pkp4
806,Cers6
807,G6pc2
808,Hat1
809,Itga6
810,Nup35
811,Rapsn
812,Ckap5
813,Trp53i11
814,Pamr1
815,Elf5
816,Pax6
817,Kif18a
818,Bdnf
819,Lgr4
820,Ccdc34
821,G630016G05Rik
822,Spred1
823,Bub1b
824,Casc5
825,Nusap1
826,Wdr76
827,Nop56
828,Cdc25b
829,1110034G24Rik
830,Plcb1
831,Plcb4
832,Snap25
833,Pcsk2
834,Nxt1
